iter	Logloss
0	0.6874958588
1	0.6828715645
2	0.6781999831
3	0.6739373621
4	0.6697007578
5	0.6660427756
6	0.6617083419
7	0.6576917121
8	0.6532994981
9	0.6496044299
10	0.6464125389
11	0.6416356842
12	0.6382670171
13	0.6342218037
14	0.6304498403
15	0.6277212966
16	0.6253427519
17	0.6213521875
18	0.6180509296
19	0.6152435592
20	0.6127169753
21	0.6092811326
22	0.6070959321
23	0.6039170745
24	0.6010191716
25	0.5980860595
26	0.5957225043
27	0.5932209649
28	0.5913776936
29	0.588572839
30	0.5862033136
31	0.5841479676
32	0.5814739663
33	0.5797326531
34	0.5779140361
35	0.5758849265
36	0.5739397487
37	0.571313661
38	0.569356251
39	0.5672354315
40	0.5655665794
41	0.563551811
42	0.561671234
43	0.5594516315
44	0.5574640678
45	0.5563499153
46	0.5541367361
47	0.5518498019
48	0.5501535299
49	0.5481564399
50	0.5462067473
51	0.5447104529
52	0.5430034869
53	0.541530033
54	0.5396487577
55	0.5381580252
56	0.5367382276
57	0.5353211761
58	0.5340973434
59	0.5322679772
60	0.5308925165
61	0.5289519015
62	0.5270350292
63	0.5253946294
64	0.5236524316
65	0.5219960855
66	0.5209263167
67	0.5191091424
68	0.517818866
69	0.5165121517
70	0.5154339186
71	0.5139294101
72	0.5124572826
73	0.5111351916
74	0.5095350202
75	0.5079791194
76	0.5068857716
77	0.505738462
78	0.5044516882
79	0.5029995573
80	0.5019440233
81	0.5009004865
82	0.4999309618
83	0.49851235
84	0.4973308665
85	0.4964176465
86	0.4946144497
87	0.493545171
88	0.49238546
89	0.4912161414
90	0.4902814678
91	0.4894878018
92	0.4878808851
93	0.4871985972
94	0.4857817263
95	0.4852744908
96	0.4843851123
97	0.4833891271
98	0.4828306992
99	0.482116578
100	0.4811464769
101	0.4804922551
102	0.4792507527
103	0.4784932696
104	0.4778553276
105	0.477089134
106	0.4760223585
107	0.474779292
108	0.4737502072
109	0.4729254382
110	0.4720509748
111	0.4713969533
112	0.4705827313
113	0.4697237663
114	0.4688650505
115	0.4679682395
116	0.4674069968
117	0.4666475209
118	0.4660696674
119	0.4652486504
120	0.4646700236
121	0.4638277677
122	0.4630856261
123	0.4626117451
124	0.4617057776
125	0.4610169967
126	0.460281589
127	0.4598882445
128	0.4595249523
129	0.4590053921
130	0.4584874438
131	0.4575320405
132	0.4567282467
133	0.4561133137
134	0.4551886024
135	0.4545593135
136	0.4540014234
137	0.4532539912
138	0.4526331669
139	0.45209439
140	0.4514988976
141	0.4508116033
142	0.4504969321
143	0.4498913292
144	0.4489036412
145	0.4484604552
146	0.4477962318
147	0.4472752915
148	0.4464983003
149	0.4461193766
150	0.4455658098
151	0.4449810383
152	0.4447265841
153	0.4440500108
154	0.4433159557
155	0.4428666543
156	0.4422466568
157	0.4416192594
158	0.4411246662
159	0.4405016456
160	0.4399715973
161	0.4394523444
162	0.4387462587
163	0.4380790057
164	0.4375625018
165	0.4371492058
166	0.4362541674
167	0.4357743237
168	0.4350432277
169	0.4345897114
170	0.4341382312
171	0.4336717679
172	0.4330348889
173	0.4326875445
174	0.432332791
175	0.4318939618
176	0.4315199547
177	0.430823251
178	0.4305292172
179	0.4299051769
180	0.4291862823
181	0.4286711312
182	0.4284420232
183	0.4278976803
184	0.427296341
185	0.4268400946
186	0.4262493341
187	0.4258770985
188	0.4255548248
189	0.4249814432
190	0.4246061566
191	0.4242639708
192	0.4239120309
193	0.4235601351
194	0.423177042
