iter	Logloss
195	0.4226316313
196	0.4220175513
197	0.4213523044
198	0.4210200878
199	0.4207733213
200	0.4204417291
201	0.4200431279
202	0.4196456169
203	0.4191618299
204	0.4188165243
205	0.4185864735
206	0.4180904512
207	0.4176264752
208	0.4170898213
209	0.4165843214
210	0.4161747461
211	0.4157320748
212	0.415463149
213	0.4151466272
214	0.4142423685
215	0.4139465205
216	0.4134775126
217	0.4129665553
218	0.4127261754
219	0.4123443319
220	0.4117308393
221	0.4113182143
222	0.411119864
223	0.4107561482
224	0.4103945959
225	0.4100198872
226	0.4097742695
227	0.4093798607
228	0.408855558
229	0.4085912896
230	0.4083083573
231	0.4078299443
232	0.4071836283
233	0.4070382815
234	0.4068051279
235	0.4064005334
236	0.4057528828
237	0.4051813033
238	0.4049230175
239	0.4044830108
240	0.4043244438
241	0.4039932581
242	0.4034646022
243	0.4030786047
244	0.4028754633
245	0.4024598601
246	0.4020345367
247	0.4017659784
248	0.4015737266
249	0.4013433382
250	0.4011268001
251	0.4008362122
252	0.4005657467
253	0.4003646032
254	0.3999587109
255	0.3996594154
256	0.3993734019
257	0.3989790159
258	0.3986976521
259	0.3983597093
260	0.3979598531
261	0.3977900671
262	0.3972349923
263	0.396853836
264	0.3965397781
265	0.3961394612
266	0.3957891583
267	0.3952574601
268	0.3949101495
269	0.3946780709
270	0.3943170194
271	0.3939378285
272	0.3937577226
273	0.3934131658
274	0.3930849956
275	0.3926254538
276	0.3924773879
277	0.3921486923
278	0.3917707181
279	0.3915433757
280	0.3912495898
281	0.3909346177
282	0.3905146681
283	0.3901835802
284	0.3896772821
285	0.389101199
286	0.3888020733
287	0.3885141449
288	0.3880058975
289	0.387782686
290	0.3875390793
291	0.3873214645
292	0.3869926158
293	0.386800373
294	0.3864275636
295	0.3862664998
296	0.3859347226
297	0.3854947124
298	0.3850796413
299	0.3847612211
300	0.384179166
301	0.3838935438
302	0.3836177196
303	0.3832850022
304	0.3829697064
305	0.3827426131
306	0.3825156362
307	0.3823304396
308	0.3819303858
309	0.3814929571
310	0.3812299301
311	0.3810018807
312	0.3807620756
313	0.3804784549
314	0.3803001749
315	0.3799808753
316	0.3797209029
317	0.3794348676
318	0.3792238034
319	0.378917054
320	0.3785576896
321	0.378351497
322	0.3780579736
323	0.3775807151
324	0.3772095331
325	0.3769993923
326	0.376574988
327	0.3761966228
328	0.375894867
329	0.3755434791
330	0.3752305538
331	0.3749672376
332	0.3745891347
333	0.3742902218
334	0.3740558052
335	0.373697935
336	0.3733641023
337	0.3732089335
338	0.3729886751
339	0.3725347556
340	0.3723283248
341	0.3719721117
342	0.3716541751
343	0.3714125866
344	0.3711898461
345	0.3709172961
346	0.3707128816
347	0.3706069735
348	0.370371438
349	0.3702536941
350	0.370076091
351	0.3698191338
352	0.3695882082
353	0.3692258238
354	0.3689724269
355	0.3687571223
356	0.368394072
357	0.3682901312
358	0.3679281287
359	0.3676902927
360	0.3674294982
361	0.3672765709
362	0.3669850322
363	0.3666261121
364	0.366398282
365	0.3662843493
366	0.3659135291
367	0.3656046239
368	0.3653884761
369	0.3652401582
370	0.3649664434
371	0.3647566666
372	0.364465164
373	0.3643250202
374	0.3640403192
375	0.3638544882
376	0.3636894253
377	0.3633765489
378	0.3631326544
379	0.3630498738
380	0.3628276051
381	0.3623007978
382	0.3621591915
383	0.3617191847
384	0.36148826
385	0.3611483014
386	0.3609851577
387	0.3607901663
388	0.3604870964
389	0.3604058922
390	0.3601891542
391	0.3599758159
392	0.3598513677
393	0.3597240808
394	0.3593924346
395	0.3591837644
396	0.3589332944
397	0.3585783866
398	0.3583093804
399	0.3579812317
400	0.3577920514
401	0.3575943258
402	0.3571790902
403	0.3567296622
404	0.3566288278
405	0.3564637405
406	0.3560446547
407	0.3557523226
408	0.3556825162
409	0.3555125797
410	0.3552566559
411	0.3549533325
412	0.3547374728
413	0.3543857057
414	0.3542495317
415	0.3539770233
416	0.3537870687
417	0.3536917443
418	0.3532051305
419	0.3530893822
420	0.3525597621
421	0.3523413761
422	0.3520045128
423	0.3517233543
424	0.3516038469
425	0.3512263664
426	0.3509566037
427	0.350736935
428	0.3505529368
429	0.3502987172
430	0.3501156735
431	0.3497778656
432	0.3495669767
433	0.3492912947
434	0.3492014574
435	0.348994789
436	0.3486733372
437	0.3483185642
438	0.3480780084
439	0.3479935669
440	0.3477852653
441	0.3475980383
442	0.3473714906
443	0.3471050053
444	0.3466825179
445	0.3462048494
446	0.3460233795
447	0.3457795283
448	0.3455324051
449	0.345300485
450	0.3451801163
451	0.3451055318
452	0.3447841679
453	0.3446624318
454	0.3443462456
455	0.3441115607
456	0.3439603391
457	0.3437212161
458	0.3435744849
459	0.3434295625
460	0.343200893
461	0.3428253419
462	0.3426706513
463	0.3424535893
464	0.3421211888
465	0.3418382653
466	0.3414774271
467	0.341077444
468	0.3408660968
469	0.3405542742
470	0.3404395238
471	0.3402720778
472	0.340043299
473	0.3398552176
474	0.3396814571
475	0.3395726332
476	0.3393699121
477	0.339065328
478	0.3389335138
479	0.3388324215
480	0.3383978315
481	0.3381612618
482	0.3381180687
483	0.3378166818
484	0.3375989407
485	0.3372507824
486	0.3369624026
487	0.3366775863
488	0.3362892674
489	0.3359326585
490	0.3358105496
491	0.3353975996
492	0.3351964915
493	0.3349145373
494	0.3346444076
495	0.3344111976
496	0.3341817466
497	0.3338443215
498	0.3336623784
499	0.3333297188
